date,return
2017-01-02,0.0
2017-01-03,0.0036360169131801
2017-01-04,-0.0003220349094393
2017-01-05,0.018316728879318
2017-01-06,0.0076200631660794
2017-01-09,0.0140074869403643
2017-01-10,0.0144947816494029
2017-01-11,0.0024011485752206
2017-01-12,-0.0067635974323665
2017-01-13,0.0018439698547849
2017-01-16,0.0042035061437517
2017-01-17,-0.0019285519562297
2017-01-18,0.0030794350138858
2017-01-19,0.0084419078332205
2017-01-20,-0.0134508174648626
2017-01-23,0.0106051723246893
2017-01-24,0.0038489560081522
2017-01-25,0.0152514255733284
2017-01-27,0.002227268072003
2017-01-30,-0.0039764989772032
2017-01-31,-0.0123545986155944
2017-02-01,0.0166426989816954
2017-02-02,0.0157707872272701
2017-02-03,0.0006913832275983
2017-02-06,0.0102442294372184
2017-02-07,-0.0022452021575555
2017-02-08,0.0042968406219074
2017-02-09,0.0008785048122172
2017-02-10,-0.0053358837993627
2017-02-13,0.000373088648681
2017-02-14,-0.0086792766059168
2017-02-15,-0.0121354523724767
2017-02-16,0.0185752944965784
2017-02-17,0.0083172592041196
2017-02-20,0.0091944484812118
2017-02-21,-0.0014002564533959
2017-02-22,-0.0081412971573587
2017-02-23,-0.0002293851741361
2017-02-27,-0.0066305363965849
2017-02-28,0.0023276606976645
2017-03-01,0.001891663777503
2017-03-02,-0.0143210976278813
2017-03-03,0.0092799015795501
2017-03-06,0.0079227907908594
2017-03-07,-0.0050958565279322
2017-03-08,-0.0076310648151067
2017-03-09,-0.0032892489369489
2017-03-10,-0.0029880181913602
2017-03-14,0.0181527407806958
2017-03-15,0.0012562747079769
2017-03-16,0.0131629733590019
2017-03-17,-0.0027965439075281
2017-03-20,0.0018786663032404
2017-03-21,-0.0011854282991371
2017-03-22,-0.0104495160968752
2017-03-23,0.0079337074324494
2017-03-24,-0.0007699573050692
2017-03-27,-0.001864289371214
2017-03-28,0.0037647952620416
2017-03-29,0.0003611999515233
2017-03-30,0.002125573081622
2017-03-31,0.0028162407731107
2017-04-03,0.0118144558572765
2017-04-05,0.0047192390894033
2017-04-06,0.0014000205922475
2017-04-07,-0.0006774893456911
2017-04-10,0.0066816369674067
2017-04-11,0.0128000369490715
2017-04-12,0.0050720468550435
2017-04-13,-0.0033060700618742
2017-04-17,0.0004565075669924
2017-04-18,-0.0090360163614904
2017-04-19,0.0096630981965117
2017-04-20,0.0106588181757305
2017-04-21,0.0002899488900707
2017-04-24,0.0046372045847715
2017-04-25,0.015029559744677
2017-04-26,-0.0053140385912665
2017-04-27,-0.0006493718184388
2017-04-28,0.0115433032268068
2017-05-02,0.0173905652283237
2017-05-03,-0.0003317307223549
2017-05-04,0.0033370283438141
2017-05-05,-0.0071675614055346
2017-05-08,0.0077356016115845
2017-05-09,0.0023455722957623
2017-05-10,0.0055527110354685
2017-05-11,0.000173938875752
2017-05-12,-0.0095580485261747
2017-05-15,0.0125451011603081
2017-05-16,0.0036469243730354
2017-05-17,-0.0071255113557524
2017-05-18,-0.0317442583544854
2017-05-19,-0.0091744233339698
2017-05-22,-0.0144966316078818
2017-05-23,-0.0035036561921968
2017-05-24,-0.0113345860502821
2017-05-25,0.0245246484045378
2017-05-26,0.011298826840228
2017-05-29,-0.0118060512599504
2017-05-30,0.0056596621388624
2017-05-31,0.0072901593168035
2017-06-01,0.0135509337035057
2017-06-02,0.0077566780880611
2017-06-05,0.0057349362780643
2017-06-06,-0.0061221531896528
2017-06-07,0.0144529503457531
2017-06-08,-0.0003636463065669
2017-06-09,0.009152151293319
2017-06-12,-0.0051828936873289
2017-06-13,0.0068428804125835
2017-06-14,0.0084276344602818
2017-06-15,0.0102327166545501
2017-06-16,-0.0066619191974349
2017-06-19,-0.0015998607101814
2017-06-20,0.0054083671695686
2017-06-21,0.0024491450300385
2017-06-22,-0.0090501193130577
2017-06-23,-0.0182798031567238
2017-06-27,-0.0229259749397793
2017-06-28,0.0057672150896821
2017-06-29,0.0096448823407548
2017-06-30,-0.0011472887210371
2017-07-03,0.0131008026363617
2017-07-04,-0.0022901982530644
2017-07-05,0.0087850960791893
2017-07-06,0.0013923541786642
2017-07-07,-0.0021255713167946
2017-07-10,-0.0023839889293806
2017-07-11,-0.0007091256784729
2017-07-12,0.0015953660641747
2017-07-13,0.0113964411602227
2017-07-14,-0.0033421650515302
2017-07-17,0.0073063102119097
2017-07-18,-0.0078057249972218
2017-07-19,0.0103017084317826
2017-07-20,0.0009209554448228
